open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
93186.34,94305.61,93181.83,93964.01,1407.12075,132194301.5848031,243203,715.63042,67215626.4251692,93743.72,777.6699999999983
93964.01,95191.81,93911.5,95191.81,1019.60575,96453372.9136025,152484,579.62294,54837764.8115938,94551.655,1227.800000000003
95191.8,95509.09,94683.81,94881.47,1067.72308,101557292.8542023,174942,571.49092,54377515.4591004,95096.45,-310.33000000000175
94881.47,94881.47,94131.11,94550.22,955.84079,90279023.3019974,187102,449.3696,42440273.6666215,94506.29000000001,-331.25
94550.23,94672.0,94036.0,94123.43,567.58156,53549352.9028931,157351,268.15219,25303460.4690959,94354.0,-426.8000000000029
94123.43,94320.0,93569.02,93961.45,879.60295,82634008.4921306,175959,411.50143,38659933.4031588,93944.51000000001,-161.97999999999593
93961.45,94400.0,93810.02,94348.75,732.7987,68971271.4353248,134449,394.80723,37150796.0533482,94105.01000000001,387.3000000000029
94348.75,94416.0,94052.7,94412.3,546.31234,51500435.0055412,114445,249.62534,23532341.5142428,94234.35,63.55000000000291
94412.3,94653.45,94311.55,94606.06,412.67676,39005395.0212379,86061,201.48945,19045057.6798309,94482.5,193.75999999999476
94606.06,94606.07,93830.47,93918.99,591.5778,55776992.2000091,109895,270.87594,25540241.6529454,94218.27,-687.0699999999924
93918.99,94313.61,93810.45,94233.19,448.92608,42232483.5966467,96149,252.38883,23741805.2409078,94062.03,314.1999999999971
94233.2,94635.7,94125.42,94495.77,633.45604,59825157.2660185,115575,349.3144,32991992.8224361,94380.56,262.570000000007
94495.77,94530.42,93952.0,94068.01,446.78916,42079927.4486034,117595,177.70335,16734607.3011112,94241.20999999999,-427.7600000000093
94068.01,94194.07,93840.0,93972.01,389.62902,36617296.6118785,71022,161.59243,15186165.7703417,94017.035,-96.0
93972.01,94425.7,93934.69,94398.6,466.22641,43919610.137694,62277,203.9538,19216362.0886301,94180.195,426.59000000001106
94398.6,94410.39,94075.1,94304.32,421.20785,39689372.0139014,60053,137.10928,12919332.3740429,94242.745,-94.27999999999884
94305.84,96094.0,94289.24,96085.02,1620.10206,154227052.7888576,166024,1014.55868,96560394.2284411,95191.62,1779.1800000000076
96085.02,97498.64,95864.5,97465.06,2637.73752,255206313.36666447,306333,1426.06387,138000996.5591933,96681.57,1380.0399999999936
97465.06,98300.0,97235.55,98300.0,2291.31734,223822085.94807687,244719,1219.3226,119117069.1252278,97767.775,834.9400000000023
98299.99,98666.0,97964.0,98496.23,2172.24903,213503911.065772,205474,995.37403,97861204.7155895,98315.0,196.2399999999907
98496.23,99030.72,98325.78,98797.47,1789.42098,176681814.0799736,217436,970.93145,95893788.8929378,98678.25,301.24000000000524
98797.47,99487.99,98418.16,98618.66,1479.28279,146327644.3417137,190220,755.84549,74788023.7046843,98953.07500000001,-178.80999999999767
98618.66,98743.52,97546.57,97581.09,1005.96025,98730771.2564327,122517,413.80525,40607512.951444,98145.04500000001,-1037.570000000007
97581.1,98056.27,97250.0,97298.01,1248.65596,121938120.8990496,193356,620.55558,60615202.7609515,97653.13500000001,-283.09000000001106
97298.02,98462.28,97277.9,98397.96,791.97528,77649243.4185843,115254,465.97098,45698670.2099895,97870.09,1099.9400000000023
98397.95,99068.9,98355.43,98777.11,751.43045,74180186.0809028,107086,372.31497,36756651.4893465,98712.165,379.1600000000035
98777.1,99019.1,98492.67,98663.58,393.46776,38866956.0265716,65197,186.62773,18436289.9078074,98755.88500000001,-113.52000000000407
98663.58,98878.44,98393.6,98418.42,715.4247,70528141.9827724,124496,268.82166,26506155.1485536,98636.02,-245.1600000000035
98418.42,98597.6,97901.08,97983.18,598.005,58737419.4405836,122130,234.98764,23084194.4050408,98249.34,-435.24000000000524
97983.17,98353.99,97725.27,98131.07,593.82651,58221768.4592935,119052,279.35558,27388789.5271575,98039.63,147.90000000000873
98131.07,98280.02,97930.53,98029.48,439.76979,43154994.3289782,110127,247.02976,24241681.6052623,98105.275,-101.59000000001106
98029.49,98354.39,97875.91,98236.01,336.98364,33077697.1526918,76794,181.3585,17801235.9110157,98115.15,206.51999999998952
98236.01,98360.65,98159.09,98279.28,255.48309,25103919.5200696,59756,108.71073,10681801.2528548,98259.87,43.270000000004075
98279.28,98581.9,97844.18,97884.38,454.7094,44639911.2653128,108466,192.94399,18949062.6564704,98213.04,-394.8999999999942
97884.39,98366.79,97873.49,98084.33,407.46219,39970611.1571866,90484,189.36632,18572211.9623963,98120.14,199.94000000000233
98084.33,98271.76,97926.99,98069.71,389.9017,38251627.3222393,67274,197.04788,19331497.2312552,98099.375,-14.619999999995343
98069.72,98265.07,98007.69,98189.54,332.61032,32631351.3376576,68784,174.38715,17108151.5111263,98136.38,119.81999999999243
98189.55,99349.31,98145.75,98457.0,1287.95699,127260143.546167,278487,725.80203,71712366.0755828,98747.53,267.4499999999971
98456.99,98866.77,97773.83,97907.61,1015.89784,99900719.6017946,193858,342.62162,33710902.5910162,98320.3,-549.3800000000047
97907.61,98610.11,97632.02,98176.03,1309.0598,128463741.8703265,318236,692.81652,67987357.1252151,98121.065,268.41999999999825
