close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
100388.71,100786.3,99608.23,100388.71,99781.89,,100388.71,,,,
101122.71,101141.01,100388.71,100633.37666666668,100388.72,,100522.16454545455,,,,
101271.56,101674.72,101024.75,100846.10444444446,101122.71,,100658.4182644628,,,,
101520.12,101536.7,100866.42,101070.7762962963,101271.57,,100815.09130728774,,,,
101209.74,101888.0,101180.63,101117.09753086421,101520.13,101102.568,100886.84561505361,,,,
101125.0,101500.0,101068.25,101119.7316872428,101209.74,101249.826,100930.14641231658,,,,
100772.46,101200.0,100559.71,101003.97445816189,101125.0,101179.776,100901.47615553174,,,,
100496.3,100861.98,100331.61,100834.74963877459,100772.47,101024.724,100827.80776361687,,,,
101824.76,101824.77,100496.3,101164.75309251639,100496.3,101085.652,101009.07180659562,,,,
101025.87,101829.0,100792.0,101118.45872834427,101824.77,101048.878,101012.12602357822,101075.723,,,
100675.7,101191.85,100572.0,100970.87248556285,101025.88,100959.018,100950.9576556549,101104.422,,,
100618.86,101136.92,100617.64,100853.53499037524,100675.7,100928.298,100890.57626371764,101054.037,,,
100584.37,100701.24,100402.82,100763.81332691683,100618.87,100945.91199999998,100834.90239758715,100985.318,,,
100499.99,100828.16,100496.47,100675.87221794456,100584.37,100680.958,100774.0092343895,100883.30500000001,,,
100980.0,101049.36,100470.58,100777.24814529638,100499.99,100671.78400000001,100811.46210086413,100860.331,,,
100814.07,101126.54,100794.11,100789.52209686427,100979.99,100699.45800000001,100811.93626434336,100829.238,,,
100579.44,100814.07,100473.14,100719.49473124286,100814.06,100691.57400000001,100769.66421628093,100809.936,,,
100358.42,100637.97,100178.32,100599.13648749524,100579.44,100646.38399999999,100694.89254059349,100796.148,,,
100828.0,100944.0,100348.35,100675.42432499683,100358.42,100711.986,100719.09389684921,100696.472,,,
100911.99,101545.78,100540.74,100754.2795499979,100828.0,100698.38399999999,100754.1659156039,100685.084,100880.4035,100108.94820467482,101651.85879532518
101702.04,101749.74,100629.41,101070.1996999986,100912.0,100875.978,100926.50665822136,100787.718,100946.07,100128.62690029021,101763.5130997098
101797.14,101861.6,100700.07,101312.5131333324,101702.04,101119.518,101084.80362945383,100905.546,100979.7915,100080.155495823,101879.42750417702
