close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band,rsi_14,taker_buy_quote_asset_volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume
100388.71,100786.3,99608.23,100388.71,99781.89,,100388.71,,,,,0.0,112761937.8921102,221303048.91969752,472723,1125.00115
101122.71,101141.01,100388.71,100633.37666666668,100388.72,,100522.16454545455,,,,,99.99999999997276,105360565.0194156,177270251.6051035,248186,1044.93146
101271.56,101674.72,101024.75,100846.10444444446,101122.71,,100658.4182644628,,,,,99.99999999996602,103629028.1272831,209628075.68037152,348587,1022.62334
101520.12,101536.7,100866.42,101070.7762962963,101271.57,,100815.09130728774,,,,,99.99999999996464,53892225.7747679,116644621.4119065,173600,532.68514
101209.74,101888.0,101180.63,101117.09753086421,101520.13,101102.568,100886.84561505361,,,,,78.47259309605512,54228856.295593,111558652.9452254,123585,533.9797
101125.0,101500.0,101068.25,101119.7316872428,101209.74,101249.826,100930.14641231658,,,,,74.11646020710735,29301929.2210763,68124565.4795848,83592,289.33802
100772.46,101200.0,100559.71,101003.97445816189,101125.0,101179.776,100901.47615553174,,,,,60.21116829067468,41220128.9804482,97916390.2540814,220628,408.4802
100496.3,100861.98,100331.61,100834.74963877459,100772.47,101024.724,100827.80776361687,,,,,52.49602130629115,45753877.9005795,107208565.5859703,236593,454.84979
101824.76,101824.77,100496.3,101164.75309251639,100496.3,101085.652,101009.07180659562,,,,,70.61104748124444,63724554.5010123,107881033.93114,270609,630.26813
101025.87,101829.0,100792.0,101118.45872834427,101824.77,101048.878,101012.12602357822,101075.723,,,,57.43897370275446,65620933.6021363,150028062.6649968,368461,647.72051
100675.7,101191.85,100572.0,100970.87248556285,101025.88,100959.018,100950.9576556549,101104.422,,,,53.09740434945578,39367134.9776191,88537060.0213041,232715,390.31878
100618.86,101136.92,100617.64,100853.53499037524,100675.7,100928.298,100890.57626371764,101054.037,,,,52.45383924819373,57222396.3404426,107232124.7271859,201236,567.27686
100584.37,100701.24,100402.82,100763.81332691683,100618.87,100945.91199999998,100834.90239758715,100985.318,,,,52.07087940930971,28651935.2920072,55144150.8478789,182454,284.90843
100499.99,100828.16,100496.47,100675.87221794456,100584.37,100680.958,100774.0092343895,100883.30500000001,,,,51.15712722990903,23917052.5661625,53211895.3499902,118022,237.6419
100980.0,101049.36,100470.58,100777.24814529638,100499.99,100671.78400000001,100811.46210086413,100860.331,,,,55.59036923721268,37382892.0815985,70906653.6359181,134228,370.85068
100814.07,101126.54,100794.11,100789.52209686427,100979.99,100699.45800000001,100811.93626434336,100829.238,,,,46.7307855266364,29790251.8142768,61065119.3679246,122989,295.03562
100579.44,100814.07,100473.14,100719.49473124286,100814.06,100691.57400000001,100769.66421628093,100809.936,,,,42.79968706955213,30288316.8781593,62467865.0194893,189757,301.1205
100358.42,100637.97,100178.32,100599.13648749524,100579.44,100646.38399999999,100694.89254059349,100796.148,,,,37.84486799590402,25471723.3032132,66613618.3116904,213825,253.81565
100828.0,100944.0,100348.35,100675.42432499683,100358.42,100711.986,100719.09389684921,100696.472,,,,46.13454465919007,41871800.7459287,78890119.9114746,188712,415.70032
100911.99,101545.78,100540.74,100754.2795499979,100828.0,100698.38399999999,100754.1659156039,100685.084,100880.4035,100108.94820467482,101651.85879532518,47.84275757580543,88904187.7773143,182878714.60104328,540341,879.76607
101702.04,101749.74,100629.41,101070.1996999986,100912.0,100875.978,100926.50665822136,100787.718,100946.07,100128.62690029021,101763.5130997098,58.647899378543045,133334360.5107607,261964756.6827002,660480,1317.17776
101797.14,101861.6,100700.07,101312.5131333324,101702.04,101119.518,101084.80362945383,100905.546,100979.7915,100080.155495823,101879.42750417702,62.5236351313194,115473593.9331031,237840811.56368196,637812,1138.7
101462.49,102540.0,101462.49,101362.50542222161,101797.14,101340.33200000001,101153.47387864403,100993.358,100989.338,100072.77293226412,101905.90306773588,45.68698463947361,179341667.3095613,318242633.3935109,722561,1756.90529
101617.65,101700.0,101227.27,101447.55361481442,101462.49,101498.262,101237.86953707237,101105.124,100994.2145,100064.81111820975,101923.61788179025,58.320866141709374,49633944.1153772,106148139.6964635,412487,489.09373
100857.59,101657.75,100831.0,101250.89907654296,101617.64,101487.38200000001,101168.72780305921,101092.883,100976.60699999999,100051.06077713652,101902.15322286346,52.2931800932267,43205858.6877839,91908787.6988176,369919,426.90012
99481.32,101052.77,99311.64,100661.03938436198,100857.59,101043.23799999998,100861.92638432117,100959.60800000001,100894.423,99756.76162836542,102032.08437163457,39.23868375045314,126872558.7566352,286121364.7128656,694182,1269.30263
100028.01,100464.73,99465.33,100450.02958957467,99481.33,100689.412,100710.30522353548,100904.465,100857.2005,99655.80789959217,102058.59310040784,45.20174143425748,72960846.6712749,156924823.27465,559237,730.36887
99760.01,100109.09,99700.0,100220.02305971645,100028.02,100348.916,100537.52427380176,100844.624,100820.386,99530.55887729753,102110.21312270247,43.81405551449019,34334205.2061962,76314949.9107146,334752,343.7525
100444.0,100476.19,99513.0,100294.68203981097,99760.01,100114.186,100520.51986038325,100806.224,100751.348,99542.61391571617,101960.08208428383,45.66702020331633,40699644.1969621,80324583.7200986,276244,406.76266
100004.29,100476.0,99879.38,100197.8846932073,100444.0,99943.52599999998,100426.65988576811,100715.454,100700.269,99454.60426915144,101945.93373084856,43.73128551300344,15940590.5218074,43690358.9825797,178078,159.16961
100083.21,100356.85,99939.85,100159.65979547155,100004.29,100063.904,100364.21445199207,100553.571,100670.64450000001,99394.70613268012,101946.5828673199,46.06365982937777,25165315.0430922,50281015.295217,180397,251.23473
