open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
3403.6,3459.88,3403.2,3423.01,32135.5459,110415036.520859,265443,16544.8914,56844923.433906,3431.54,19.41000000000031
3423.0,3466.99,3417.73,3459.68,15127.9825,52088939.049724,118200,8179.0505,28162690.946342,3442.3599999999997,36.679999999999836
3459.68,3465.25,3415.61,3422.53,14717.8412,50561818.370524,144286,6170.0043,21199193.584378,3440.4300000000003,-37.149999999999636
3422.53,3426.4,3390.01,3419.03,14717.657,50159461.063186,135078,6994.3536,23836895.55273,3408.205,-3.5
3419.03,3422.76,3377.13,3383.34,14631.8163,49730158.587932,111101,6551.9585,22270150.632935,3399.945,-35.690000000000055
3383.34,3392.57,3358.19,3372.76,12689.6227,42851984.250348,108203,5978.6286,20194763.382023,3375.38,-10.579999999999927
3372.76,3398.79,3372.76,3396.94,10022.6019,33930465.269993,102463,5350.6813,18116480.951039,3385.775,24.179999999999836
3396.95,3417.32,3387.3,3413.32,9567.9625,32584690.546376,83327,4908.153,16713562.634854,3402.3100000000004,16.370000000000346
3413.33,3434.97,3408.5,3423.98,8873.9008,30350535.93815,65048,4753.6732,16258236.377929,3421.7349999999997,10.650000000000091
3423.99,3426.81,3386.95,3393.42,10262.0836,35008017.833387,80712,3771.426,12868547.704975,3406.88,-30.56999999999971
3393.42,3415.66,3385.02,3401.22,8984.1094,30562799.214721,77350,4900.5761,16674128.493211,3400.34,7.799999999999727
3401.22,3416.65,3393.44,3413.69,9442.0549,32161527.03356,83424,5253.2026,17896301.752197,3405.045,12.470000000000255
3413.69,3415.5,3385.98,3399.51,9599.7995,32665793.431396,95555,5239.5258,17827904.953472,3400.74,-14.179999999999836
3399.5,3405.54,3389.93,3393.19,10018.8228,34037119.962834,83281,6614.9857,22475577.64988,3397.7349999999997,-6.309999999999945
3393.2,3416.04,3392.69,3414.56,5649.304,19242609.348171,76603,3244.6804,11049705.629631,3404.365,21.360000000000127
3414.56,3415.94,3395.59,3406.55,9427.953,32089720.269875,76740,4473.5311,15225816.392949,3405.7650000000003,-8.009999999999764
3406.64,3456.26,3401.68,3452.96,18744.7213,64403184.414794,139793,10574.662,36324545.727059,3428.9700000000003,46.320000000000164
3452.95,3471.29,3430.73,3455.91,27559.359,95107536.476179,255747,12782.968,44114255.996507,3451.01,2.9600000000000364
3455.9,3510.0,3443.98,3493.07,28995.1068,100996044.625622,221896,14525.2899,50594945.479084,3476.99,37.17000000000007
3493.07,3519.0,3475.48,3480.0,20900.4783,73054529.048649,198808,10203.7403,35672304.723501,3497.24,-13.070000000000164
3480.0,3510.96,3479.5,3501.75,17125.7911,59912590.81957,151320,8603.2366,30098063.412325,3495.23,21.75
3501.76,3539.65,3486.6,3493.62,18957.3701,66520335.302973,154323,9485.6163,33309877.960101,3513.125,-8.140000000000327
3493.63,3499.63,3465.02,3465.52,11658.4935,40582460.552995,80582,4493.0209,15642195.079524,3482.325,-28.110000000000127
3465.51,3468.5,3431.99,3450.21,15636.8765,53955161.04802,167449,7667.9695,26456063.914694,3450.245,-15.300000000000182
3450.2,3493.2,3446.52,3489.24,9607.5583,33374947.109399,82196,5402.012,18767572.092479,3469.8599999999997,39.039999999999964
3489.25,3500.0,3478.0,3492.63,6616.979,23092496.697473,63904,3367.9817,11754191.583858,3489.0,3.380000000000109
3492.62,3505.0,3489.6,3493.18,6033.254,21102290.40756,69494,3077.0257,10763301.382273,3497.3,0.5599999999999454
3493.17,3495.88,3478.54,3482.73,7995.2874,27883555.115098,78528,3393.8662,11837980.374438,3487.21,-10.440000000000055
3482.73,3491.41,3466.26,3473.31,9676.1638,33668584.828209,91728,4523.5305,15738996.304102,3478.835,-9.420000000000073
3473.3,3491.74,3458.0,3485.31,11761.0005,40862415.677516,92355,6217.6101,21602999.323468,3474.87,12.009999999999764
3485.31,3495.97,3468.16,3478.23,8020.0374,27915239.384152,75924,4065.79,14152144.247772,3482.0649999999996,-7.079999999999927
3478.23,3492.33,3469.61,3488.81,5181.6388,18054452.614407,69176,2948.5672,10274149.507069,3480.9700000000003,10.579999999999927
